country,date,state,city,station,latitude,longitude,pollutant id,pollutant min,pollutant max,pollutant avg
India,31-05-2026,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",26.14,85.37,NO2,6,15,9
India,31-05-2026,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",26.14,85.37,CO,22,38,29
India,31-05-2026,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",25.59,85.23,SO2,8,10,9
India,31-05-2026,Bihar,Patna,"Muradpur, Patna - BSPCB",25.62,85.15,SO2,12,14,13
India,31-05-2026,Bihar,Patna,"Samanpura, Patna - BSPCB",25.6,85.09,PM10,70,134,102
India,31-05-2026,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",30.75,76.76,PM10,8,59,35
India,31-05-2026,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",21.19,81.31,OZONE,11,82,38
India,31-05-2026,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",21.19,81.34,NO2,13,14,13
India,31-05-2026,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",22.09,82.14,PM2.5,0,0,0
India,31-05-2026,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",22.09,82.14,NO2,0,0,0
India,31-05-2026,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",22.09,82.14,SO2,0,0,0
India,31-05-2026,Chhattisgarh,Korba,"Rampur, Korba - CECB",22.37,82.75,NO2,8,66,23
India,31-05-2026,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",22.13,83.48,NO2,12,79,35
India,31-05-2026,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",22.13,83.48,NH3,2,2,2
India,31-05-2026,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",26.18,91.78,PM10,35,243,58
India,31-05-2026,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",26.18,91.78,SO2,33,36,34
India,31-05-2026,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",26.45,91.44,PM10,13,71,48
India,31-05-2026,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",26.45,91.44,NO2,14,16,15
India,31-05-2026,Assam,Silchar,"Tarapur, Silchar - PCBA",24.83,92.8,NO2,16,16,16
India,31-05-2026,Assam,Silchar,"Tarapur, Silchar - PCBA",24.83,92.8,OZONE,2,12,4
India,31-05-2026,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26.99,94.64,PM10,29,43,37
India,31-05-2026,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",26.15,87.45,PM10,40,95,64
