AQI_ID,Location_ID,country,date,state,city,station,latitude,longitude,pollutant id,pollutant min,pollutant max,pollutant avg
A96,L26,India,31-05-2026,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",27.31,84.53,NH3,1,1,1
A97,L26,India,31-05-2026,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",27.31,84.53,SO2,14,17,16
A98,L11,India,31-05-2026,Bihar,Patna,"Samanpura, Patna - BSPCB",25.6,85.09,SO2,4,6,5
A99,L27,India,31-05-2026,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",25.37,87.12,PM2.5,55,75,64
A100,L27,India,31-05-2026,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",25.37,87.12,OZONE,13,52,33
A101,L28,India,31-05-2026,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",25.03,85.42,PM10,38,109,76
A102,L29,India,31-05-2026,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",25.89,86.59,PM2.5,12,336,88
A103,L29,India,31-05-2026,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",25.89,86.59,PM10,32,249,120
A104,L30,India,31-05-2026,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",25.86,85.78,PM10,3,107,56
A105,L30,India,31-05-2026,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",25.86,85.78,OZONE,2,11,8
A106,L31,India,31-05-2026,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",24.95,84,SO2,2,5,4
A107,L32,India,31-05-2026,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",26.23,84.36,PM2.5,0,0,0
A108,L32,India,31-05-2026,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",26.23,84.36,NO2,2,2,2
A109,L5,India,31-05-2026,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",26.19,91.74,CO,17,38,25
A110,L33,India,31-05-2026,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",26.35,92.68,CO,4,22,19
A111,L34,India,31-05-2026,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",26.45,91.44,OZONE,1,20,18
A112,L35,India,31-05-2026,Assam,Silchar,"Tarapur, Silchar - PCBA",24.83,92.8,NH3,1,1,1
A113,L36,India,31-05-2026,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26.99,94.64,PM2.5,19,44,29
A114,L36,India,31-05-2026,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26.99,94.64,NH3,7,11,8
A115,L36,India,31-05-2026,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",26.99,94.64,SO2,7,9,8
A116,L37,India,31-05-2026,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",26.15,87.45,PM2.5,33,62,46
A117,L37,India,31-05-2026,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",26.15,87.45,OZONE,8,13,10
A118,L38,India,31-05-2026,Bihar,Arrah,"New DM Office, Arrah - BSPCB",25.56,84.66,PM2.5,5,55,33
A119,L38,India,31-05-2026,Bihar,Arrah,"New DM Office, Arrah - BSPCB",25.56,84.66,PM10,4,49,29
A120,L39,India,31-05-2026,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",24.76,84.37,PM2.5,17,137,48
A121,L40,India,31-05-2026,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",25.43,86.14,CO,14,20,16
A122,L40,India,31-05-2026,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",25.43,86.14,OZONE,34,48,39
A123,L41,India,31-05-2026,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",26.8,84.52,PM2.5,12,47,32
A124,L42,India,31-05-2026,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",25.25,86.99,SO2,30,63,44
A125,L42,India,31-05-2026,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25.27,87.01,PM10,0,0,0
A126,L43,India,31-05-2026,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",25.78,84.74,NH3,2,3,2
A127,L44,India,31-05-2026,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",16.52,80.52,PM2.5,18,43,32
